Restaurant Name , Cuisine , Price , Location,Exact Location,Driving Distance,Recommended,Availability,Tags Availability,Reservation,Menu,Website,Phone,Google Maps Link
Anna Stuben , Creative , €€€€ ," Ortisei, Italy","Via Vidalong, 3, 39046 Ortisei BZ, Italy",4 mins,FALSE,,,,,,,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Alpenroyal Gourmet , Creative , €€€€ ," Selva di Val Gardena, Italy","Meisulesstr, 43, 39048 Selva di Val Gardena BZ, Italy",11 mins,FALSE," 
  - Thu: 7:30–9 PM [Dinner]
  - Fri: 7:30–9 PM [Dinner]
  - Sat: 7:30–9 PM [Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",https://www.opentable.it/restaurant/profile/348783?ref=18257,https://www.alpenroyal.com/files/Alpenroyal%20Gourmet%20Restaurant_winter%202021-22_en.pdf,https://www.alpenroyal.com/de/alpenroyal-gourmet-restaurant.asp,,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Suinsom , Italian Contemporary, €€€€ ," Selva di Val Gardena, Italy","Str. Puez, 12, 39048 Selva di Val Gardena BZ, Italy",14 mins,FALSE," 
  - Thu: 7–9 PM [Dinner]
  - Fri: 7–9 PM [Dinner]
  - Sat: 7–9 PM [Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",,https://www.tyrolhotel.it/images/pdf/carta-gourmet.pdf,https://www.tyrolhotel.it/en/restaurant-michelin-suinsom-val-gardena/,390471774100,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
L'Ostì , Modern Cuisine , €€€ ," Corvara in Badia, Italy","Strada Sassongher, 2, 39033 Corvara in Badia BZ, Italy",44 mins,FALSE," 
  - Thu: 12–2 PM, 6:30–10 PM [Lunch, Dinner]
  - Fri: 12–2 PM, 6:30–10 PM [Lunch, Dinner]
  - Sat: 12–2 PM, 6:30–10 PM [Lunch, Dinner]
  - Sun: 12–2 PM, 6:30–10 PM [Lunch, Dinner]
"," 
[ Thu, Fri, Sat ]

",,,http://www.ristorantelosti.it/,393338194890,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Burjè 1968 , Contemporary , €€€ ," Corvara in Badia, Italy","Str. Burjé, 11, 39033 Corvara in Badia BZ, Italy",45 mins,FALSE," 
  - Thu: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Fri: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Sat: 12–2 PM, 7–9 PM [Lunch, Dinner]
  - Sun: 12–2 PM [Lunch]
"," 
[ Thu, Fri, Sat, Sun ]

",,https://www.burje1968.it/images/pdf/menu.pdf,https://www.burje1968.it/?utm_source=google&utm_medium=organic&utm_campaign=google_mybusiness&utm_content=restaurant,390471836043,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Vitis , Regional Cuisine , €€€ ," Brixen, Italy","Vicolo del Duomo, 3, 39042 Bressanone BZ, Italy",35 mins,FALSE," 
  - Thu: 10 AM–3 PM, 5–11:45 PM [Lunch, Dinner]
  - Fri: 10 AM–3 PM, 5–11:45 PM [Lunch, Dinner]
  - Sat: 10 AM–3 PM, 5–11:45 PM [Lunch, Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",https://www.vitis.bz/de/tischanfrage-vitis.html,https://www.adlerbrixen.com/fileadmin/files/PDF/vitis-speisekarte-website.pdf,http://www.vitis.bz/,390472835343,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Oste Scuro - Finsterwirt , Regional Cuisine , €€ ," Brixen, Italy","Vicolo del Duomo, 3, 39042 Bressanone BZ, Italy",35 mins,FALSE," 
  - Thu: 11:30 AM–2 PM, 6:45–9 PM [Lunch, Dinner]
  - Fri: 11:30 AM–2 PM, 6:45–9 PM [Lunch, Dinner]
  - Sat: 11:30 AM–2 PM, 6:45–9 PM [Lunch, Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",https://www.finsterwirt.com/de/tischanfrage-finsterwirt.html,https://www.adlerbrixen.com/fileadmin/files/PDF/speisekarte-fw-website.pdf,http://www.finsterwirt.com/,390472835343,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Elephant , Classic Cuisine , €€€ ," Brixen, Italy","Via Rio Bianco, 4, 39042 Bressanone BZ, Italy",35 mins,TRUE," 
  - Thu: 7:00 AM – 11:00 PM [All Day]
  - Fri: 7:00 AM – 11:00 PM [All Day]
  - Sat: 7:00 AM – 11:00 PM [All Day]
  - Sun: 7:00 AM – 11:00 PM [All Day]
"," 
[ Thu, Fri, Sat, Sun ]

",,,https://www.hotelelephant.com/,390472832750,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
Apostelstube , Creative , €€€€ ," Brixen, Italy","Via Rio Bianco, 4, 39042 Bressanone BZ, Italy",35 mins,FALSE," 
  - Thu: Closed
  - Fri: 7:30–9:30 PM [Dinner]
  - Sat: 7:30–9:30 PM [Dinner]
  - Sun: 7:30–9:30 PM [Dinner]
"," 
[ Fri, Sat, Sun ]

",,,https://www.hotelelephant.com/it/restaurants/restaurant-apostelstube,,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
El Filò , Regional Cuisine , €€€ ," Pozza di Fassa, Italy","Strada Dolomites, 103, 38036 San Giovanni di Fassa TN, Italy",1 hour 0 mins,TRUE," 
  - Thu: 7:30–9:30 PM [Dinner]
  - Fri: 7:30–9:30 PM [Dinner]
  - Sat: 7:30–9:30 PM [Dinner]
  - Sun: Closed
"," 
[ Thu, Fri, Sat ]

",http://www.el-filo.com/prenota-un-tavolo/,https://www.el-filo.com/i-sapori/,http://www.el-filo.com/,390462763210,"https://www.google.com/maps/place/In+Viaggio+-+Claudio+Melis+Restaurant/@46.5002128,11.3551177,17z/data=!3m2!4b1!5s0x47829e7a7fd82881:0x4c59835c21ceade!4m6!3m5!1s0x47829e7bd9986167:0x296b534f275b1350!8m2!3d46.5002091!4d11.3576926!16s%2Fg%2F11gd1vyc3r?entry=ttu"
